Code.Pays,Nom.Pays,Surface_forestiere_km2,nbr_touristes,Depense_tourisme,CO2.en.t,PIB_en_M,Superficie,Population,industrie_en_pourcentage,pourcentage_tourisme,pourcentage_foret,emissions_par_hab,PIB_par_habitant
AGO,Angola,693826.9,592000,389000000,31649999.62,87219.3,1246700,28127721,41.93,0.446002203640708,55.653076120959334,1.1252244581066486,3100.830671635288
ALB,Albanie,7891.875,4131000,1311000000,4619999.886,11386.85,28750,2880703,21.76,11.51328067024682,27.450000000000003,1.6037751500241433,3952.8024930025763
ARE,Emirats arabes unis,3173,19313000,16637099609,195240005.5,370275.47,98647.9,8916899,43.35,4.4931681834068025,3.2164901635006933,21.895504872265573,41525.13895245421
ARG,Argentine,290970,6816000,9348000000,185550003.1,594749.29,2780400,43131966,23.15,1.571754713654219,10.465041001294779,4.301913877517199,13789.060531115138
ARM,Armenie,3295.2,1192000,1057000000,5340000.153,10553.34,29740,2878595,25.71,10.015786471391994,11.08002689979825,1.855071711373083,3666.14268419142
ATG,Antigua et Barbuda,84.5,894000,95000000,490000.0095,1336.69,440,89941,16.46,7.107107855972589,19.204545454545453,5.448016027173369,14861.853881989304
AUS,Australie,1330945,7449000,34071000000,377799987.8,1350580.34,7741220,23815995,23.69,2.5226933186366387,17.192961832889388,15.863288004553244,56708.961351394304
AUT,Autriche,38811.9,26728000,11337000000,63240001.68,381971.15,83879,8642699,25.17,2.968025202950537,46.27129555669477,7.317158873634266,44195.81776479778
AZE,Azerbaidjan,10778.87,2006000,2743000000,31770000.46,53076.24,86600,9649341,44.89,5.168037524888726,12.446732101616629,3.2924528690612136,5500.504127691207
BEL,Belgique,6893,8355000,15856000000,95129997.25,462335.57,30530,11274196,19.67,3.4295436104991883,22.577792335407796,8.437851998492842,41008.296290041435
BEN,Benin,33851.5,279000,141000000,5510000.229,11388.16,114760,10932783,16.39,1.2381280206811285,29.497647263855004,0.5039888040401058,1041.652431956255
BFA,Burkina Faso,64664,163000,160000000,3700000.048,11832.16,274220,18718019,24.36,1.3522467579883977,23.581066297133688,0.19767049322901104,632.1267223844575
BGD,Bangladesh,18834,126000,827000000,72190002.44,195078.57,147630,157830000,26.83,0.4239317522165556,12.757569599674861,0.4573908790470759,1236.004371792435
BGR,Bulgarie,38330,9317000,1346000000,44560001.37,50828.09,111000,7177991,24.02,2.648142001794677,34.531531531531535,6.207865316353837,7081.102497899482
BHR,Bahrein,6,9670000,4939000000,30579999.92,31050.64,778,1362142,40.15,15.906274395632424,0.7712082262210797,22.449935410551912,22795.450107257537
BHS,Bahamas,5098.6,6112000,347000000,2210000.038,11672.9,13880,392697,11.26,2.97269744450822,36.73342939481268,5.627748717204359,29724.953335523314
BIH,Bosnie-Herzegovine,21605,678000,278000000,19620000.84,16404.35,51210,3524324,21.73,1.6946724496856018,42.18902558094123,5.5670252905238,4654.608940608185
BLR,Belarus,86335,4386000,997000000,54819999.69,56454.9,207600,9461076,32.69,1.7660114533902285,41.58718689788054,5.79426691953431,5967.069707504727
BLZ,Belize,13328.3,1299000,50000000,680000.0072,2210.5,22970,359871,14.74,2.261931689662972,58.024814976055715,1.889566003373431,6142.478832692826
BOL,Bolivie,520272.2,882000,849000000,20760000.23,33000.2,1098580,11090085,25.2,2.57271168053527,47.358608385370204,1.8719423908833883,2975.648969327106
BRA,Bresil,5038848,6306000,20356000000,485339996.3,1802212,8515770,205188205,19.36,1.1295008578347052,59.17078549561579,2.365340621309105,8783.214415273042
BRB,Barbade,63,1179000,119000000,1269999.981,4724.69,430,278083,13.63,2.5186837654957257,14.651162790697676,4.566981732072798,16990.21515159143
BTN,Bhoutan,27151.8,155000,44000000,769999.9809,2003.6,38394,743274,42.49,2.1960471151926533,70.71886232223785,1.035957104513275,2695.641176739668
BWA,Botswana,158462,1660000,256399993,6949999.809,13530.75,581730,2305171,37.54,1.8949429484692275,27.2397847798807,3.0149606293849787,5869.738080168457
CHE,Suisse,12519.1,9305000,19675000000,39090000.15,694118.19,41290.7,8282396,24.2,2.8345316811247954,30.319418174068257,4.719648776754939,83806.44803750026
CHL,Chili,175960.8,5487000,2518000000,82230003.36,242496.66,756096,17870124,27.88,1.0383648170659339,23.27228288471305,4.601535129806598,13569.94836745397
CIV,Cote d'Ivoire,34011.5,1441000,560000000,9810000.42,45815.01,322460,23596741,20.12,1.2223068378682007,10.547509768653477,0.41573539413769045,1941.582102375917
CMR,Cameroun,206204.8,897000,742000000,8460000.038,32210.23,475440,23012646,25.09,2.3036159630030584,43.371361265354196,0.3676239593656462,1399.675204667903
COD,Republique democratique du Congo,1316621.2,354000,127000000,3230000.019,37917.71,2344860,78656904,41.7,0.3349358386885706,56.149245583958105,0.04106441843935276,482.06461317114645
COG,Congo,220150,224000,557000000,5659999.847,11890.26,342000,5064386,47.8,4.684506478411742,64.37134502923976,1.1176083037509383,2347.818669430016
COL,Colombie,601346.6,3371000,4890000000,80230003.36,293492.37,1141749,47119728,28.59,1.666142121514096,52.668896578845256,1.7026839238121239,6228.651617004241
COM,Comores,351.1,23600,34000000,189999.9976,966.03,1861,730216,10.41,3.5195594339720295,18.866200967221925,0.2601969795238669,1322.9373226552143
CPV,Cabo Verde,442.2,520000,109000000,500000,1749.86,4030,552166,14.62,6.229069754151761,10.972704714640198,0.9055247878355422,3169.0832104838037
CRI,Costa Rica,29530.3,2899000,898000000,7539999.962,56441.92,51100,4895242,19.97,1.591016039142538,57.78923679060666,1.5402711371572642,11529.95500528881
CSS,Petits etats des Caraibes,365041,17200000,1578456569,39310000.08,75480.33,434990,7224602,24.27,2.0912157763486197,83.91940044598726,5.441130193746313,10447.68002444979
CUB,Cuba,31840,3540000,2819000000,29209999.08,87133,109880,11339894,22.35,3.235283991139981,28.977065890061887,2.575861739095621,7683.757890505855
CYP,Chypre,1727.1,2780000,1453000000,6849999.905,19909.27,9251,1187280,10.19,7.298107866335632,18.669333045076204,5.769489846539991,16768.807694899268
CZE,Republique tcheque,26683.9,29604000,4819000000,99139999.39,188033.05,78870,10546059,33.78,2.562847329232813,33.83276277418537,9.400668002141844,17829.698278759864
DEU,Allemagne,114190,34970000,85334000000,742309997.6,3357585.72,357410,81686611,27.11,2.5415285599916118,31.94930192216222,9.087290909889749,41103.256444314975
DMA,Dominique,478.7,358000,34000000,180000.0072,540.74,750,70007,12.53,6.287679846136776,63.82666666666667,2.5711715571300013,7724.084734383705
DNK,Danemark,6246.8,28209000,8918000000,33700000.76,302673.07,42920,5683483,19.99,2.9464134354602476,14.554520037278659,5.929462753737453,53254.856221088376
DOM,Republique dominicaine,21036.5,6129000,803000000,23590000.15,71164.83,48670,10405832,28.5,1.1283663573706282,43.22272447092665,2.2669979824775184,6838.937049915855
DZA,Algerie,19560,1710000,762000000,156270004.3,165979.22,2381741,39543154,35.38,0.4590936142488199,0.8212479862419969,3.951885180934227,4197.419861855228
ECU,Equateur,128191.8,1676000,994000000,41520000.46,99290.38,256370,16195902,31.87,1.0011040344492588,50.002652416429385,2.5636114901164504,6130.586613823671
EGY,Egypte,484.2,9328000,3636000000,226279998.8,329366.58,1001450,97723799,36.63,1.1039371389774881,0.048349892655649304,2.3155055484488485,3370.3824797069137
EST,Estonie,24210.1,5696000,1169000000,15539999.96,22890.76,45340,1315407,23.86,5.106864079654848,53.396779885310984,11.813834014871443,17402.036023831406
ETH,Ethiopie,174335,864000,2279000000,12890000.34,64589.33,1136244.136,102471895,16.3,3.5284465715931717,15.343093484620635,0.1257905920447748,630.3126335274662
FIN,Finlande,224090,2622000,5786000000,42819999.69,234534.38,338446,5479531,23.31,2.4670157100208505,66.21144879833119,7.81453735547805,42801.907681515084
FJI,Fidji,11066.2,869000,115000000,1379999.995,4682.48,18270,917200,15.17,2.4559635065179135,60.57033388067872,1.504579148495421,5105.189707806367
FRA,France,168360,203302000,47713000000,311299987.8,2439188.64,549087,66548272,17.68,1.9561012714457378,30.66180769167727,4.677807228413084,36652.92225769589
GEO,Georgie,28224,5256000,609000000,9199999.809,14953.68,69700,3725276,19.15,4.072576115043254,40.493543758967,2.4696156228424417,4014.1133167045878
GHA,Ghana,78804.4,897000,1405000000,15779999.73,49406.01,238540,28870939,31.12,2.843783580175772,33.036136497023556,0.5465703671778739,1711.2713237349158
GIN,Guinee,63890,35000,38000000,2539999.962,8794.2,245860,11625998,26.32,0.43210297696208866,25.986333685837472,0.21847586435160232,756.4253838681204
GMB,Gambie,2713.4,449000,5400000,529999.9714,1378.18,11300,2253133,17.14,0.39182109738931054,24.012389380530973,0.2352280009213837,611.6727241578726
GRC,Grece,39018.03,26114000,3535000000,68010002.14,195683.53,131960,10820883,14.5,1.8064882619400826,29.56807365868445,6.285069540073578,18083.878182584547
GRD,Grenade,177,437000,40000000,270000.0107,997.01,340,118980,12.32,4.011995867644257,52.05882352941177,2.269289046058161,8379.64363758615
GTM,Guatemala,35858,1865000,1020000000,16340000.15,62186.06,108890,15567419,22.74,1.6402389860364204,32.930480301221415,1.0496280822145276,3994.628782073637
HND,Honduras,64638.3,2093000,454000000,9930000.305,20979.79,112490,9294505,25.65,2.1639873421039963,57.46137434438617,1.0683732275145368,2257.225102358867
HRV,Croatie,19220,55858000,770000000,16600000.38,50742.09,88073,4203604,20.6,1.5174778965549112,21.822806081318905,3.948992431256608,12071.091853561848
